Training;TWI;SLOPE;PROFC;PLANC;NDVI;LANDUSE;GEOM;GEO;ELEV;ASP
1;4.186867;25.998138;0.022034;0.009036;0.3412;3;1;9;59.71283;186.855606
1;4.505883;19.439148;0.040612;0.00811;0.318664;3;1;9;60;169.466797
1;4.112028;27.663225;0.02119;0.007214;0.257079;3;1;10;51.943905;145.783844
1;4.069332;29.793785;-0.003461;-0.003595;0.455701;3;1;10;39.801376;156.905334
1;4.203131;27.590668;-0.001244;0.005767;0.579253;3;1;10;35.637177;151.927826
1;4.176765;26.86673;0.003077;0.003561;0.584274;3;1;10;30.49176;146.78952
1;4.329842;25.060589;0.008792;0.011305;0.528055;3;1;10;27.10675;188.319153
1;4.25188;26.819471;0.042485;-0.005;0.500282;3;1;10;28.43885;184.616241
1;4.494758;20.146843;0.013163;0.001103;0.374124;3;1;10;85.803406;129.828827
1;4.146914;27.560234;-0.004325;-0.001021;0.63022;3;1;10;77.945381;129.163559
1;4.415825;21.456953;5.20E-05;0.003745;0.655682;3;1;10;71.275543;131.519043
1;4.674788;18.332722;-0.000354;0.009929;0.511332;3;1;10;65.95578;127.471939
1;4.419373;20.789778;0.001687;-0.002536;0.633917;3;1;9;52.910019;92.684151
1;4.011008;31.256273;-0.003423;0.002557;0.572854;3;1;9;46.948807;185.50415
1;4.072727;29.341499;-0.013283;0.003413;0.522597;3;1;9;47.323112;180.878204
1;4.196363;26.761856;-0.013935;0.007127;0.524806;3;1;10;46.043503;161.592163
1;4.193093;26.492495;-0.003057;0.003454;0.556306;3;1;10;41.640038;142.290192
1;4.253864;26.117504;0.001155;-0.002843;0.630517;3;1;10;35.482277;143.81633
1;5.459069;10.808352;-0.011253;-0.011243;0.658434;3;1;10;23.752127;117.665199
1;4.586618;20.157555;0.006723;-0.00628;0.602788;3;1;10;57.172844;159.701172
1;4.22226;24.107185;0.006886;0.009799;0.615545;3;1;9;55.369354;162.110229
1;4.205226;24.51025;-0.005764;0.018688;0.647996;3;1;9;50.287437;131.815735
1;4.132862;28.620964;0.013654;-0.000146;0.619678;7;1;10;37.852154;159.047974
1;4.609653;18.970009;0.023281;0.012525;0.671094;7;1;10;28.272659;174.396408
1;4.42577;21.826614;-0.006994;-0.000737;0.687084;3;1;9;48.513161;1.24645
1;4.776858;17.081779;-0.02285;-0.007783;0.682883;7;1;10;17.777554;22.947409
1;3.991733;30.984039;-0.020461;0.006921;0.664301;3;1;10;19.688618;352.849121
1;4.23366;24.893597;0.007528;0.00919;0.657117;3;1;9;58.363693;182.584641
1;4.326939;23.902561;-0.003476;0.003392;0.696692;7;1;9;45.93634;67.844345
1;4.061078;28.493706;0.006625;0.021397;0.677083;7;1;10;48.322426;41.982376
1;4.303161;24.750074;-0.000435;0.005165;0.662993;7;1;10;26.948961;5.551122
1;4.288276;25.694935;-0.007706;-0.002124;0.682573;7;1;10;24.752495;11.892303
1;5.175715;14.766042;-0.029242;-0.009098;0.679474;3;1;10;70.702744;65.415588
1;5.198195;11.554716;0.035005;-0.005358;0.664235;3;1;9;70;172.949005
1;4.315744;22.508312;-0.000479;0.021082;0.662263;3;1;9;66.211639;23.103821
1;4.786209;14.79351;0.006073;0.012081;0.674514;7;1;10;59.074486;37.165691
1;4.459798;26.101925;-0.000685;-0.011126;0.677972;7;1;10;34.808167;26.314651
1;4.570323;23.50695;-0.008289;-0.011468;0.681794;7;1;10;32.236588;180.861694
